order_id,guest_id,activity id,activity_name,date_booking,country_activity,device_type
102060,110254,3056,Activity 3056,29/10/16,Singapore,Mobile
84694,7778,1063,Activity 1063,5/9/16,Japan,PC
68495,88481,3088,Activity 3088,8/7/16,Singapore,Mobile
106751,133893,7092,Activity 7092,12/11/16,Singapore,PC
96985,122707,800,Activity 800,15/10/16,Indonesia,PC
124461,152715,7051,Activity 7051,27/12/16,Singapore,Mobile
84112,107415,7014,Activity 7014,3/9/16,Singapore,Mobile
72506,93835,10277,Activity 10277,25/7/16,Japan,PC
95822,121370,3481,Activity 3481,12/10/16,Indonesia,Mobile
124154,150852,3646,Activity 3646,27/12/16,Japan,Mobile
85311,108658,1205,Activity 1205,7/9/16,Singapore,Mobile
79497,102883,10277,Activity 10277,19/8/16,Japan,PC
117377,66353,1205,Activity 1205,14/12/16,Singapore,PC
100066,126462,7051,Activity 7051,24/10/16,Singapore,PC
76514,98911,3481,Activity 3481,9/8/16,Indonesia,PC
111071,138722,6977,Activity 6977,27/11/16,Thailand,Mobile
78817,102252,3220,Activity 3220,17/8/16,Indonesia,PC
120348,148317,1565,Activity 1565,20/12/16,Singapore,Mobile
127151,150634,9906,Activity 9906,31/12/16,Singapore,PC
117347,145583,7051,Activity 7051,14/12/16,Singapore,PC
100277,126733,4654,Activity 4654,25/10/16,Singapore,Mobile
95939,58880,4250,Activity 4250,12/10/16,Japan,PC
77568,100722,3481,Activity 3481,13/8/16,Indonesia,Mobile
95045,120454,1625,Activity 1625,10/10/16,Singapore,Mobile
97446,123334,1757,Activity 1757,17/10/16,Japan,Mobile
109900,136566,1625,Activity 1625,22/11/16,Singapore,PC
107195,134088,6720,Activity 6720,13/11/16,Japan,PC
104554,131426,1625,Activity 1625,5/11/16,Singapore,PC
75751,98229,10277,Activity 10277,6/8/16,Japan,Mobile
95607,121127,1113,Activity 1113,11/10/16,Japan,PC
98057,124063,7097,Activity 7097,18/10/16,Singapore,PC
87546,110957,3481,Activity 3481,13/9/16,Indonesia,PC
88016,105669,1119,Activity 1119,14/9/16,Indonesia,PC
75762,98246,1625,Activity 1625,7/8/16,Singapore,Mobile
64885,83418,4565,Activity 4565,20/6/16,Japan,PC
115827,144084,7051,Activity 7051,11/12/16,Singapore,Mobile
68890,89018,7014,Activity 7014,9/7/16,Singapore,Mobile
110527,138234,1119,Activity 1119,25/11/16,Indonesia,PC
101932,128478,1625,Activity 1625,29/10/16,Singapore,Mobile
89201,112892,3965,Activity 3965,19/9/16,Japan,PC
62922,80717,917,Activity 917,8/6/16,Japan,PC
93081,117848,1039,Activity 1039,3/10/16,Indonesia,Mobile
88584,112095,5405,Activity 5405,16/9/16,Thailand,Mobile
85580,108965,3806,Activity 3806,7/9/16,Japan,PC
119383,147542,1565,Activity 1565,18/12/16,Singapore,Mobile
74852,97121,7014,Activity 7014,3/8/16,Singapore,PC
93637,118265,7092,Activity 7092,5/10/16,Singapore,Mobile
123957,152171,7014,Activity 7014,26/12/16,Singapore,PC
79386,102784,10277,Activity 10277,19/8/16,Japan,PC
120992,148909,3337,Activity 3337,21/12/16,Indonesia,Mobile
93471,118402,3056,Activity 3056,4/10/16,Singapore,PC
92286,116533,4654,Activity 4654,1/10/16,Singapore,PC
85662,109071,10277,Activity 10277,8/9/16,Japan,PC
74578,96716,3087,Activity 3087,2/8/16,Indonesia,PC
109671,137221,10277,Activity 10277,22/11/16,Japan,PC
74902,97149,3087,Activity 3087,3/8/16,Indonesia,Mobile
114451,142550,1625,Activity 1625,7/12/16,Singapore,PC
62794,79936,3639,Activity 3639,7/6/16,Indonesia,Mobile
125771,153623,1039,Activity 1039,29/12/16,Indonesia,Mobile
106037,133103,1119,Activity 1119,9/11/16,Indonesia,Mobile
96441,122089,3038,Activity 3038,14/10/16,Japan,Mobile
68190,84572,3503,Activity 3503,6/7/16,Japan,PC
114721,142902,3481,Activity 3481,8/12/16,Indonesia,Mobile
119556,143951,4654,Activity 4654,19/12/16,Singapore,PC
86644,109565,6296,Activity 6296,11/9/16,Japan,PC
82543,105973,3481,Activity 3481,30/8/16,Indonesia,Mobile
102287,128853,1625,Activity 1625,30/10/16,Singapore,PC
74778,97003,3481,Activity 3481,3/8/16,Indonesia,Mobile
115926,144188,3481,Activity 3481,11/12/16,Indonesia,PC
109131,136551,10277,Activity 10277,20/11/16,Japan,Mobile
112325,140181,1625,Activity 1625,1/12/16,Singapore,PC
110187,137858,7051,Activity 7051,24/11/16,Singapore,Mobile
120168,148413,10277,Activity 10277,20/12/16,Japan,PC
92219,116768,3056,Activity 3056,30/9/16,Singapore,Mobile
69200,88440,3087,Activity 3087,11/7/16,Indonesia,Mobile
70788,91360,1409,Activity 1409,17/7/16,Indonesia,Mobile
